honeycomb_number,vertex_1_x,vertex_1_y,vertex_2_x,vertex_2_y,vertex_3_x,vertex_3_y,vertex_4_x,vertex_4_y,vertex_5_x,vertex_5_y,vertex_6_x,vertex_6_y
1,0.0,3.126351707661823,1.805,6.252703415323646,5.415,6.252703415323646,7.22,3.126351707661823,5.415,0.0,1.805,0.0
2,5.415,6.252703415323646,7.220000000000001,9.37905512298547,10.83,9.37905512298547,12.635,6.252703415323646,10.83,3.126351707661823,7.220000000000001,3.126351707661823
3,10.83,3.126351707661823,12.635,6.252703415323646,16.245,6.252703415323646,18.05,3.126351707661823,16.245,0.0,12.635,0.0
4,16.245,6.252703415323646,18.05,9.37905512298547,21.66,9.37905512298547,23.465,6.252703415323646,21.66,3.126351707661823,18.05,3.126351707661823
5,21.66,3.126351707661823,23.465,6.252703415323646,27.075,6.252703415323646,28.88,3.126351707661823,27.075,0.0,23.465,0.0
6,27.075,6.252703415323646,28.88,9.37905512298547,32.49,9.37905512298547,34.295,6.252703415323646,32.49,3.126351707661823,28.88,3.126351707661823
7,32.49,3.126351707661823,34.295,6.252703415323646,37.905,6.252703415323646,39.71,3.126351707661823,37.905,0.0,34.295,0.0
8,37.905,6.252703415323646,39.71,9.37905512298547,43.32,9.37905512298547,45.125,6.252703415323646,43.32,3.126351707661823,39.71,3.126351707661823
9,43.32,3.126351707661823,45.125,6.252703415323646,48.735,6.252703415323646,50.54,3.126351707661823,48.735,0.0,45.125,0.0
10,48.735,6.252703415323646,50.54,9.37905512298547,54.15,9.37905512298547,55.955,6.252703415323646,54.15,3.126351707661823,50.54,3.126351707661823
11,0.0,9.37905512298547,1.805,12.505406830647292,5.415,12.505406830647292,7.22,9.37905512298547,5.415,6.252703415323646,1.805,6.252703415323646
12,5.415,12.505406830647292,7.220000000000001,15.631758538309116,10.83,15.631758538309116,12.635,12.505406830647292,10.83,9.37905512298547,7.220000000000001,9.37905512298547
13,10.83,9.37905512298547,12.635,12.505406830647292,16.245,12.505406830647292,18.05,9.37905512298547,16.245,6.252703415323646,12.635,6.252703415323646
14,16.245,12.505406830647292,18.05,15.631758538309116,21.66,15.631758538309116,23.465,12.505406830647292,21.66,9.37905512298547,18.05,9.37905512298547
15,21.66,9.37905512298547,23.465,12.505406830647292,27.075,12.505406830647292,28.88,9.37905512298547,27.075,6.252703415323646,23.465,6.252703415323646
16,27.075,12.505406830647292,28.88,15.631758538309116,32.49,15.631758538309116,34.295,12.505406830647292,32.49,9.37905512298547,28.88,9.37905512298547
17,32.49,9.37905512298547,34.295,12.505406830647292,37.905,12.505406830647292,39.71,9.37905512298547,37.905,6.252703415323646,34.295,6.252703415323646
18,37.905,12.505406830647292,39.71,15.631758538309116,43.32,15.631758538309116,45.125,12.505406830647292,43.32,9.37905512298547,39.71,9.37905512298547
19,43.32,9.37905512298547,45.125,12.505406830647292,48.735,12.505406830647292,50.54,9.37905512298547,48.735,6.252703415323646,45.125,6.252703415323646
20,48.735,12.505406830647292,50.54,15.631758538309116,54.15,15.631758538309116,55.955,12.505406830647292,54.15,9.37905512298547,50.54,9.37905512298547
21,0.0,15.631758538309114,1.805,18.75811024597094,5.415,18.75811024597094,7.22,15.631758538309114,5.415,12.505406830647292,1.805,12.505406830647292
22,5.415,18.758110245970936,7.220000000000001,21.88446195363276,10.83,21.88446195363276,12.635,18.758110245970936,10.83,15.631758538309114,7.220000000000001,15.631758538309114
23,10.83,15.631758538309114,12.635,18.75811024597094,16.245,18.75811024597094,18.05,15.631758538309114,16.245,12.505406830647292,12.635,12.505406830647292
24,16.245,18.758110245970936,18.05,21.88446195363276,21.66,21.88446195363276,23.465,18.758110245970936,21.66,15.631758538309114,18.05,15.631758538309114
25,21.66,15.631758538309114,23.465,18.75811024597094,27.075,18.75811024597094,28.88,15.631758538309114,27.075,12.505406830647292,23.465,12.505406830647292
26,27.075,18.758110245970936,28.88,21.88446195363276,32.49,21.88446195363276,34.295,18.758110245970936,32.49,15.631758538309114,28.88,15.631758538309114
27,32.49,15.631758538309114,34.295,18.75811024597094,37.905,18.75811024597094,39.71,15.631758538309114,37.905,12.505406830647292,34.295,12.505406830647292
28,37.905,18.758110245970936,39.71,21.88446195363276,43.32,21.88446195363276,45.125,18.758110245970936,43.32,15.631758538309114,39.71,15.631758538309114
29,43.32,15.631758538309114,45.125,18.75811024597094,48.735,18.75811024597094,50.54,15.631758538309114,48.735,12.505406830647292,45.125,12.505406830647292
30,48.735,18.758110245970936,50.54,21.88446195363276,54.15,21.88446195363276,55.955,18.758110245970936,54.15,15.631758538309114,50.54,15.631758538309114
31,0.0,21.884461953632762,1.805,25.010813661294584,5.415,25.010813661294584,7.22,21.884461953632762,5.415,18.75811024597094,1.805,18.75811024597094
32,5.415,25.010813661294584,7.220000000000001,28.13716536895641,10.83,28.13716536895641,12.635,25.010813661294584,10.83,21.884461953632762,7.220000000000001,21.884461953632762
33,10.83,21.884461953632762,12.635,25.010813661294584,16.245,25.010813661294584,18.05,21.884461953632762,16.245,18.75811024597094,12.635,18.75811024597094
34,16.245,25.010813661294584,18.05,28.13716536895641,21.66,28.13716536895641,23.465,25.010813661294584,21.66,21.884461953632762,18.05,21.884461953632762
35,21.66,21.884461953632762,23.465,25.010813661294584,27.075,25.010813661294584,28.88,21.884461953632762,27.075,18.75811024597094,23.465,18.75811024597094
36,27.075,25.010813661294584,28.88,28.13716536895641,32.49,28.13716536895641,34.295,25.010813661294584,32.49,21.884461953632762,28.88,21.884461953632762
